Token, Name(Lexeme), Type, Line Number, Scope, Dims(If array), ScopeINFO(Child), ScopeINFO(Parent), Offsets
IDENTIFIER, Mileage, int, 9, 3, 0, -4
IDENTIFIER, Mileage, int, 27, 7, 0, 0
IDENTIFIER, Model, int, 9, 3, 0, -12
IDENTIFIER, Year, int, 9, 3, 0, -8
IDENTIFIER, args, String, 31, 8, 1, 0
identifier - field ofCar, car_number, int, 4, -1, 0, 0
identifier - method ofCar, getMileage, int, 23, -1, 0, 0
identifier - method ofCar, getMileage, int, 23, 0, 0, 0
identifier - method ofCar, getModel, int, 16, -1, 0, 0
identifier - method ofCar, getYear, int, 19, -2, 0, 0
identifier - method ofCar, getYear, int, 19, -1, 0, 0
identifier - method ofCar, main, void, 31, -3, 0, 0
identifier - method ofCar, main, void, 31, -1, 0, 0
identifier - field ofCar, mileage, int, 7, -1, 0, 0
identifier - field ofCar, model, int, 5, -1, 0, 0
IDENTIFIER, myCar, Car, 32, 8, 0, 0
IDENTIFIER, myCar2, Car, 41, 8, 0, 4
identifier - method ofCar, setMileage, void, 27, -4, 0, 0
identifier - method ofCar, setMileage, void, 27, -1, 0, 0
identifier - field ofCar, year, int, 6, -1, 0, 0
, , , , , , 1, 0, 
, , , , , , 2, 1, 
, , , , , , 3, 2, 
, , , , , , 4, 2, 
, , , , , , 5, 2, 
, , , , , , 6, 2, 
, , , , , , 7, 2, 
, , , , , , 8, 2, 
